英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,Full_Career_English,国籍,SNS_Instagram,SNS_Twitter,SNS_Facebook,選手名_カタカナ,リーグ
Bryn Gatland,ブリン ・ガットランド,SO,コベルコ神戸スティーラーズ（2025-26）,179.0,88.0,1995.05.10,30.0,ハミルトンボーイズ,,ハミルトンボーイズ高校,B,36,https://league-one.jp/player/483971,,,,,,ブルーズ (2016 - 2018) -> ハイランダーズ (2018 - 2020) -> ノース・ハーバー (2019 - 2023) -> チーフス (2020 - 2023) -> コベルコ神戸スティーラーズ (2023 - ),Blues (2016 - 2018) -> Highlanders (2018 - 2020) -> North Harbour (2019 - 2023) -> Chiefs (2020 - 2023) -> Kobelco Kobe Steelers (2023 - ),,,,,ブリン ・ガットランド,league-one
Hikaru Moriwaki,森脇 光,PR,コベルコ神戸スティーラーズ（2025-26）,176.0,108.0,2002.02.17,23.0,京都工学院高校,流通経済大学,Kobelco Kobe Steelers (2024 - ),A,3,https://league-one.jp/player/483972,,Kobelco Kobe Steelers (2024 - ),,,,コベルコ神戸スティーラーズ (2024 - ),Kobelco Kobe Steelers (2024 - ),,,,,森脇 光,league-one
Daisuke Ito,伊藤 大祐,UTB,コベルコ神戸スティーラーズ（2025-26）,179.0,85.0,2001.07.15,24.0,桐蔭学園高校,早稲田大学,桐蔭学園高校 早稲田大学,A,1,https://league-one.jp/player/483973,,,,,,コベルコ神戸スティーラーズ (2023 - ),Kobelco Kobe Steelers (2023 - ),,,,,伊藤 大祐,league-one
Ryota Funabiki,船曳 涼太,WTB,コベルコ神戸スティーラーズ（2025-26）,178.0,83.0,2001.09.09,24.0,科学技術高校,京都産業大学,神戸市立科学技術高校 京都産業大学,A,4,https://league-one.jp/player/483974,,,,,,コベルコ神戸スティーラーズ (2024 - ),Kobelco Kobe Steelers (2024 - ),,,,,船曳 涼太,league-one
Maurice Marks,モーリス ・マークス,WTB,埼玉パナソニックワイルドナイツ（2025-26）,180.0,90.0,2001.04.24,24.0,HoerskoolNoordheuwel,東洋大学,HoerskoolNoordheuwel 東洋大学,A,2,https://league-one.jp/player/484028,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,モーリス ・マークス,league-one
Juan Wilson,ユアン ・ウィルソン,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,190.0,108.0,2001.04.18,24.0,PaarlGymnasium,立正大学,PaarlGymnasium 立正大学,A,3,https://league-one.jp/player/484029,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,ユアン ・ウィルソン,league-one
Makito Ishikawa,石川 槙人,PR,埼玉パナソニックワイルドナイツ（2025-26）,184.0,115.0,2002.10.06,23.0,日本航空石川高校,東洋大学,日本航空石川 東洋大学,A,0,https://league-one.jp/player/484030,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,石川 槙人,league-one
Kantaro Tajima,田島 貫太郎,LO,埼玉パナソニックワイルドナイツ（2025-26）,197.0,105.0,2003.02.26,22.0,東福岡高校,明治大学,東福岡高校 明治大学,A,0,https://league-one.jp/player/484031,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,田島 貫太郎,league-one
Lisala Finau,リサラ ・フィナウ,PR,埼玉パナソニックワイルドナイツ（2025-26）,189.0,125.0,2002.06.20,23.0,青森山田高校,大東文化大学,青森山田高校 大東文化大学,A,11,https://league-one.jp/player/484032,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,リサラ ・フィナウ,league-one
Kenji Sato,佐藤 健次,HO,埼玉パナソニックワイルドナイツ（2025-26）,177.0,105.0,2003.01.04,23.0,桐蔭学園高校,早稲田大学,桐蔭学園高校 早稲田大学,A,16,https://league-one.jp/player/484033,,,"XV('24,'25)、日本代表(9)",,,No Data,No Data,,,,,佐藤 健次,league-one
Kumsu Lee,李 錦寿,SH,埼玉パナソニックワイルドナイツ（2025-26）,175.0,82.0,2002.09.05,23.0,大阪朝鮮高級学校,帝京大学,大阪朝鮮高級学校 帝京大学,A,2,https://league-one.jp/player/484034,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,李 錦寿,league-one
Tom Parton,トム ・パートン,UTB,埼玉パナソニックワイルドナイツ（2025-26）,178.0,90.0,1998.02.02,28.0,ウェリングトン,ウェリントンカレッジ,ウェリングトン高校 ウェリントンカレッジ,B,10,https://league-one.jp/player/484035,,,,,,ロンドン・アイリッシュ (2016 - 2023) -> London Scottish (2017 - 2018) -> サラセンズ (2023 - 2025) -> 埼玉パナソニックワイルドナイツ (2024 - ),London Irish (2016 - 2023) -> London Scottish (2017 - 2018) -> Saracens (2023 - 2025) -> Saitama Wild Knights (2024 - ),,,,,トム ・パートン,league-one
Viliami Afu Kaipouli,カイポウリ ヴィリアミアフ,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,189.0,115.0,1997.09.28,28.0,ヘイスティングスボーイズ,日本文理大学,ヘイスティングスボーイズ高校 日本文理大学,A,21,https://league-one.jp/player/484036,,,,,,三重ホンダヒート (2021 - 2024) -> 埼玉パナソニックワイルドナイツ (2024 - ),Mie Honda Heat RFC (2021 - 2024) -> Saitama Wild Knights (2024 - ),,,,,カイポウリ ヴィリアミアフ,league-one
Joshua Nohra,ジョシュア ・ノーラ,WTB,埼玉パナソニックワイルドナイツ（2025-26）,180.0,88.0,1996.06.11,29.0,St Patrick's College,WesternSydney,StPatrickCollege WesternSydney,A,36,https://league-one.jp/player/484037,,,,,,花園近鉄ライナーズ (2021 - 2024) -> 埼玉パナソニックワイルドナイツ (2024 - ),Hanazono Kintetsu Liners (2021 - 2024) -> Saitama Wild Knights (2024 - ),,,,,ジョシュア ・ノーラ,league-one
Takaya Saito,齊藤 誉哉,CTB,埼玉パナソニックワイルドナイツ（2025-26）,181.0,93.0,2001.01.02,25.0,桐生第一高校,明治大学,桐生第一高校 明治大学,A,7,https://league-one.jp/player/484038,,,,,,埼玉パナソニックワイルドナイツ (2023 - ),Saitama Wild Knights (2023 - ),,,,,齊藤 誉哉,league-one
Yusaku Kihara,木原 優作,PR,埼玉パナソニックワイルドナイツ（2025-26）,176.0,106.0,2000.12.11,25.0,東福岡高校,筑波大学,東福岡高校 筑波大学,A,3,https://league-one.jp/player/484039,,,高校('18)、U23('20),,,埼玉パナソニックワイルドナイツ (2023 - ),Saitama Wild Knights (2023 - ),,,,,木原 優作,league-one
Lood de Jager,ルード ・デヤハー,LO,埼玉パナソニックワイルドナイツ（2025-26）,206.0,125.0,1992.12.17,33.0,HuyenoteSpringHighSchool,North-WestUniversity,HuyenoteSpringHighSchool North-WestUniversity,C,40,https://league-one.jp/player/484040,,,,,,チーターズ (2013 - 2016) -> ブルズ (2016 - 2019) -> Sale Sharks (2019 - 2022) -> 埼玉パナソニックワイルドナイツ (2022 - ),Central Cheetahs (2013 - 2016) -> Bulls (2016 - 2019) -> Sale Sharks (2019 - 2022) -> Saitama Wild Knights (2022 - ),,,,,ルード ・デヤハー,league-one
Damian de Allende,ダミアン ・デアレンデ,CTB,埼玉パナソニックワイルドナイツ（2025-26）,190.0,105.0,1991.11.25,34.0,ミルナートン,ケープタウン大学,ミルナートン高校 ケープタウン大学,C,46,https://league-one.jp/player/484041,,,,,,ストーマーズ (2013 - 2019) -> マンスター (2019 - 2022) -> 埼玉パナソニックワイルドナイツ (2019 - ),Stormers (2013 - 2019) -> Munster Rugby (2019 - 2022) -> Saitama Wild Knights (2019 - ),,,,,ダミアン ・デアレンデ,league-one
Liam Mitchell,リアム ・ミッチェル,LO,埼玉パナソニックワイルドナイツ（2025-26）,197.0,117.0,1995.10.10,30.0,PalmerstonNorthBoys,,PalmerstonNorthBoys,B,47,https://league-one.jp/player/484042,,,,,,ハリケーンズ (2018 - 2021) -> マナワツ (2019 - 2021) -> ゼブレ (2021 - 2022) -> 埼玉パナソニックワイルドナイツ (2022 - ),Hurricanes (2018 - 2021) -> Manawatu Turbos (2019 - 2021) -> Zebre Parma (2021 - 2022) -> Saitama Wild Knights (2022 - ),,,,,リアム ・ミッチェル,league-one
Daniel Perez,ダニエル ・ペレズ,PR,埼玉パナソニックワイルドナイツ（2025-26）,185.0,108.0,1997.04.22,28.0,セントピーターズ,白鴎大学,セントピーターズ高校 白鴎大学,A,23,https://league-one.jp/player/484043,,,,,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,ダニエル ・ペレズ,league-one
Seijun Kawasaki,川崎 清純,WTB,埼玉パナソニックワイルドナイツ（2025-26）,191.0,100.0,1999.06.17,26.0,盛岡工高校,関東学院大大学,盛岡工高校 関東学院大,A,3,https://league-one.jp/player/484044,,,セブンズ日本(2),,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,川崎 清純,league-one
Tomoki Osada,長田 智希,CTB,埼玉パナソニックワイルドナイツ（2025-26）,179.0,90.0,1999.11.25,26.0,東海大仰星高校,早稲田大学,埼玉WK (2022 - ),A,52,https://league-one.jp/player/484045,,埼玉WK (2022 - ),"高校('17)、U20,U23('19)、日本代表(26)",,,埼玉WK (2022 - ),埼玉WK (2022 - ),,,,,長田 智希,league-one
Goro Hashimoto,橋本 吾郎,LO,埼玉パナソニックワイルドナイツ（2025-26）,191.0,101.0,1999.07.23,26.0,深谷高校,中央大学,深谷高校 中央大学,A,0,https://league-one.jp/player/484046,,,,,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,橋本 吾郎,league-one
Marika Koroibete,マリカ ・コロインベテ,WTB,埼玉パナソニックワイルドナイツ（2025-26）,182.0,96.0,1992.07.26,33.0,ナスイヌ,,ナスイヌ高校,C,56,https://league-one.jp/player/484047,,,オーストラリア代表(59),,,メルボルン・レベルズ (2016 - 2021) -> 埼玉パナソニックワイルドナイツ (2021 - ),Melbourne Rebels (2016 - 2021) -> Saitama Wild Knights (2021 - ),,,,,マリカ ・コロインベテ,league-one
Vince Aso,ヴィンス ・アソ,CTB,埼玉パナソニックワイルドナイツ（2025-26）,185.0,90.0,1995.01.05,31.0,セントピーターズ,ビクトリア大学,Auckland (2013 - 2017) -> Hurricanes (2016 - 2021) -> Wellington Lions (2019 - 2021) -> 埼玉WK (2021 - ),A,54,https://league-one.jp/player/484048,,Auckland (2013 - 2017) -> Hurricanes (2016 - 2021) -> Wellington Lions (2019 - 2021) -> 埼玉WK (2021 - ),,,,オークランド (2013 - 2017) -> ハリケーンズ (2016 - 2021) -> ウェリントン (2019 - 2021) -> 埼玉WK (2021 - ),Auckland (2013 - 2017) -> Hurricanes (2016 - 2021) -> Wellington Lions (2019 - 2021) -> 埼玉WK (2021 - ),,,,,ヴィンス ・アソ,league-one
Lachlan Boshier,ラクラン ・ボーシェー,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,191.0,104.0,1994.11.16,31.0,ニュープリマスボーイズハイスクール,,ニュープリマスボーイズハイスクール,A,62,https://league-one.jp/player/484049,,,,,,チーフス (2015 - 2021) -> タラナキ (2019 - 2021) -> 埼玉パナソニックワイルドナイツ (2021 - ),Chiefs (2015 - 2021) -> Taranaki Bulls (2019 - 2021) -> Saitama Wild Knights (2021 - ),,,,,ラクラン ・ボーシェー,league-one
Hondo Atora,本堂 杏虎,SH,埼玉パナソニックワイルドナイツ（2025-26）,169.0,85.0,1998.11.09,27.0,國學院大學栃木高校,日本体育大学,國學院大學栃木高校 日本体育大学,A,1,https://league-one.jp/player/484050,,,"U20,U23('18)",,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,本堂 杏虎,league-one
Kyohei Yamasawa,山沢 京平,SO,埼玉パナソニックワイルドナイツ（2025-26）,176.0,85.0,1998.08.17,27.0,深谷高校,明治大学,深谷高校 明治大学,A,34,https://league-one.jp/player/484051,,,"U20('17,'18)",,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,山沢 京平,league-one
Shota Fukui,福井 翔大,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,186.0,101.0,1999.09.28,26.0,東福岡高校,,東福岡高校,A,51,https://league-one.jp/player/484052,,,"高校('17)、U20('17,'18,'19)、U23('19)、日本代表(3)",,,埼玉パナソニックワイルドナイツ (2018 - ),Saitama Wild Knights (2018 - ),,,,,福井 翔大,league-one
Esei Haangana,エセイ ・ハアンガナ,LO,埼玉パナソニックワイルドナイツ（2025-26）,198.0,120.0,1999.04.21,26.0,セントポールズカトリックカレッジ,,セントポールズカトリックカレッジ,A,46,https://league-one.jp/player/484053,,,,,,Not Found,Not Found,,,,,エセイ ・ハアンガナ,league-one
Taiki Fujii,藤井 大喜,PR,埼玉パナソニックワイルドナイツ（2025-26）,183.0,114.0,1998.01.04,28.0,黒沢尻工高校,大東文化大学,黒沢尻工高校 大東文化大学,A,45,https://league-one.jp/player/484054,,,"U20,U23('17)",,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,藤井 大喜,league-one
Ben Gunter,ベン ・ガンター,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,195.0,120.0,1997.10.24,28.0,ブリスベンボーイズカレッジ,,ブリスベンボーイズカレッジ,A,43,https://league-one.jp/player/484055,,,日本代表(17),,,サンウルブズ (2018 - 2019) -> 埼玉パナソニックワイルドナイツ (2021 - ),Sunwolves (2018 - 2019) -> Saitama Wild Knights (2021 - ),,,,,ベン ・ガンター,league-one
Dylan Riley,ディラン ・ライリー,CTB,埼玉パナソニックワイルドナイツ（2025-26）,187.0,102.0,1997.05.02,28.0,TheSouthportSchool（サウスポート高校）,,TheSouthportSchool（サウスポート高校）,A,62,https://league-one.jp/player/484057,,,日本代表(38),,,ブリスベン・シティ (2017 - 2018) -> 埼玉パナソニックワイルドナイツ (2019 - ),Brisbane City (2017 - 2018) -> Saitama Wild Knights (2019 - ),,,,,ディラン ・ライリー,league-one
Sho Furuhata,古畑 翔,PR,埼玉パナソニックワイルドナイツ（2025-26）,185.0,118.0,1996.12.10,29.0,大阪桐蔭高校,大東文化大学,大阪桐蔭高校 大東文化大学,A,5,https://league-one.jp/player/484058,,,XV('25)、日本代表(1),,,埼玉パナソニックワイルドナイツ (2023 - ),Saitama Wild Knights (2023 - ),,,,,古畑 翔,league-one
Kazuma Shimane,島根 一磨,HO,埼玉パナソニックワイルドナイツ（2025-26）,175.0,103.0,1996.11.30,29.0,天理高校,天理大学,天理高校 天理大学,A,10,https://league-one.jp/player/484059,,,U23('19),,,埼玉パナソニックワイルドナイツ (2022 - ),Saitama Wild Knights (2022 - ),,,,,島根 一磨,league-one
Koki Takeyama,竹山 晃暉,WTB,埼玉パナソニックワイルドナイツ（2025-26）,175.0,84.0,1996.09.25,29.0,御所実業高校,帝京大学,御所実業高校 帝京大学,A,56,https://league-one.jp/player/484060,,,"U23('16,'17)、日本代表(1)",,,埼玉パナソニックワイルドナイツ (2019 - ),Saitama Wild Knights (2019 - ),,,,,竹山 晃暉,league-one
Itsuki Onishi,大西 樹,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,185.0,102.0,1995.12.09,30.0,旭川工高校,流経大学,旭川工高校 流経大学,A,47,https://league-one.jp/player/484061,,,,,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,大西 樹,league-one
Ryuji Noguchi,野口 竜司,FB,埼玉パナソニックワイルドナイツ（2025-26）,177.0,83.0,1995.07.15,30.0,東海大仰星高校,東海大学,東海大仰星高校 東海大学,A,58,https://league-one.jp/player/484062,,,"高校('12)、U20('15)、U23('15,'17)、日本代表(14)",,,サンウルブズ (2017 - 2018) -> 埼玉パナソニックワイルドナイツ (2018 - ),Sunwolves (2017 - 2018) -> Saitama Wild Knights (2018 - ),,,,,野口 竜司,league-one
Taiki Koyama,小山 大輝,SH,埼玉パナソニックワイルドナイツ（2025-26）,171.0,74.0,1994.10.31,31.0,芦別高校,大東文化大学,芦別高校 大東文化大学,A,68,https://league-one.jp/player/484063,,,高校('12)、セブンズ日本(3)、日本代表(7),,,埼玉パナソニックワイルドナイツ (2017 - ),Saitama Wild Knights (2017 - ),,,,,小山 大輝,league-one
Takuya Yamasawa,山沢 拓也,SO,埼玉パナソニックワイルドナイツ（2025-26）,176.0,84.0,1994.09.21,31.0,深谷高校,筑波大学,埼玉WK (2016 - 2016) -> サンウルブズ (2019 - ),A,46,https://league-one.jp/player/484064,,埼玉WK (2016 - 2016) -> サンウルブズ (2019 - ),U23('13)、日本代表(10),,,埼玉WK (2016 - 2016) -> Sunwolves (2019 - ),埼玉WK (2016 - 2016) -> サンウルブズ (2019 - ),,,,,山沢 拓也,league-one
Tomohito Miyakawa,宮川 智海,LO,埼玉パナソニックワイルドナイツ（2025-26）,191.0,106.0,1994.09.06,31.0,秋田工高校,関東学院大学,秋田工高校 関東学院大学,A,2,https://league-one.jp/player/484065,,,高校('12),,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,宮川 智海,league-one
Atsushi Sakate,坂手 淳史,HO,埼玉パナソニックワイルドナイツ（2025-26）,180.0,104.0,1993.06.21,32.0,京都成章高校,帝京大学,京都成章高校 帝京大学,A,68,https://league-one.jp/player/484066,,,U23('13)、日本代表(47),,,サンウルブズ (2016 - 2019) -> 埼玉パナソニックワイルドナイツ (2019 - ),Sunwolves (2016 - 2019) -> Saitama Wild Knights (2019 - ),,,,,坂手 淳史,league-one
Ryota Hasegawa,長谷川 崚太,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,188.0,100.0,1993.05.12,32.0,日本航空高校,大東文化大学,日本航空高校 大東文化大学,A,36,https://league-one.jp/player/484067,,,,,,サンウルブズ (2018 - 2019) -> 埼玉パナソニックワイルドナイツ (2019 - ),Sunwolves (2018 - 2019) -> Saitama Wild Knights (2019 - ),,,,,長谷川 崚太,league-one
Shunsuke Nunomaki,布巻 峻介,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,178.0,98.0,1992.07.13,33.0,東福岡高校,早稲田大学,東福岡高校 早稲田大学,A,16,https://league-one.jp/player/484068,,,高校('10)、U20('11)、日本代表(7),,,サンウルブズ (2016 - 2020) -> 埼玉パナソニックワイルドナイツ (2018 - ),Sunwolves (2016 - 2020) -> Saitama Wild Knights (2018 - ),,,,,布巻 峻介,league-one
Yuji Shimogama,下釜 優次,HO,埼玉パナソニックワイルドナイツ（2025-26）,178.0,102.0,1992.01.25,34.0,鹿児島玉龍高校,筑波大学,鹿児島玉龍高校 筑波大学,A,2,https://league-one.jp/player/484069,,,,,,埼玉パナソニックワイルドナイツ (2021 - ),Saitama Wild Knights (2021 - ),,,,,下釜 優次,league-one
Craig Millar,クレイグ ・ミラー,PR,埼玉パナソニックワイルドナイツ（2025-26）,186.0,116.0,1990.10.29,35.0,オタゴボーイズハイスクール,オタゴ大学,オタゴボーイズハイスクール オタゴ大学,A,67,https://league-one.jp/player/484070,,,日本代表(17),,,ハイランダーズ (2013 - 2017) -> サンウルブズ (2017 - 2019) -> 埼玉パナソニックワイルドナイツ (2019 - ),Highlanders (2013 - 2017) -> Sunwolves (2017 - 2019) -> Saitama Wild Knights (2019 - ),,,,,クレイグ ・ミラー,league-one
Keita Inagaki,稲垣 啓太,PR,埼玉パナソニックワイルドナイツ（2025-26）,186.0,116.0,1990.06.02,35.0,新潟工業高校,関東学院大学,埼玉WK (2013 - 2013) -> レベルズ (2015 - 2015) -> サンウルブズ (2016 - ),A,50,https://league-one.jp/player/484071,,埼玉WK (2013 - 2013) -> レベルズ (2015 - 2015) -> サンウルブズ (2016 - ),U20('08)、日本代表(53),,,埼玉WK (2013 - 2013) -> レベルズ (2015 - 2015) -> Sunwolves (2016 - ),埼玉WK (2013 - 2013) -> レベルズ (2015 - 2015) -> サンウルブズ (2016 - ),,,,,稲垣 啓太,league-one
AsaeliAi Valu,ヴァル アサエリ愛,PR,埼玉パナソニックワイルドナイツ（2025-26）,187.0,115.0,1989.05.07,36.0,正智深谷高校,埼玉工業大学,正智深谷高校 埼玉工業大学,A,65,https://league-one.jp/player/484072,,,日本代表(30),,,Not Found,Not Found,,,,,ヴァル アサエリ愛,league-one
Ockie Barnard,オッキー ・バーナード,LO,埼玉パナソニックワイルドナイツ（2025-26）,200.0,113.0,2001.04.20,24.0,ウェストビルボーイズ,,ウェストビルボーイズ高校,B,7,https://league-one.jp/player/484073,,,,,,シャークス (2019 - 2023) -> 埼玉パナソニックワイルドナイツ (2023 - ),Sharks (2019 - 2023) -> Saitama Wild Knights (2023 - ),,,,,オッキー ・バーナード,league-one
Xavier Stowers,ゼイビア ・スタワーズ,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,196.0,114.0,2003.07.28,22.0,IpswichGrammarSchool,,IpswichGrammarSchool,B,4,https://league-one.jp/player/484074,,,,,,埼玉パナソニックワイルドナイツ (2023 - ),Saitama Wild Knights (2023 - ),,,,,ゼイビア ・スタワーズ,league-one
Taniela Vea,タニエラ ・ヴェア,PR,埼玉パナソニックワイルドナイツ（2025-26）,184.0,125.0,2000.04.24,25.0,目黒学院,東洋大学,目黒学院 東洋大学,A,2,https://league-one.jp/player/484075,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,タニエラ ・ヴェア,league-one
Orion Schmok,シュモック オライオン,LO,埼玉パナソニックワイルドナイツ（2025-26）,181.0,100.0,2001.08.01,24.0,マウントアルバートグラマースクール,慶應義塾大学,マウントアルバートグラマースクール 慶應義塾大学,A,0,https://league-one.jp/player/484076,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,シュモック オライオン,league-one
Shuto Nobuhara,延原 秀飛,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,182.0,103.0,2001.12.06,24.0,京都成章高校,帝京大学,京都成章高校 帝京大学,A,0,https://league-one.jp/player/484077,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,延原 秀飛,league-one
Hayata Taniyama,谷山 隼大,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,184.0,95.0,2001.12.10,24.0,福岡高校,筑波大学,福岡高校 筑波大学,A,4,https://league-one.jp/player/484078,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,谷山 隼大,league-one
Shu Hagihara,萩原 周,SH,埼玉パナソニックワイルドナイツ（2025-26）,173.0,77.0,2001.07.13,24.0,大阪桐蔭高校,明治大学,大阪桐蔭高校 明治大学,A,5,https://league-one.jp/player/484079,,,,,,埼玉パナソニックワイルドナイツ (2024 - ),Saitama Wild Knights (2024 - ),,,,,萩原 周,league-one
Yoshiaki Taniguchi,谷口 宜顕,FB,埼玉パナソニックワイルドナイツ（2025-26）,172.0,80.0,2001.11.20,24.0,東海大大阪仰星高校,東海大学,埼玉WK (2024 - 2024) -> トゥゲラノン・ヴァイキングズ (2025 - ),A,0,https://league-one.jp/player/484080,,埼玉WK (2024 - 2024) -> トゥゲラノン・ヴァイキングズ (2025 - ),,,,埼玉WK (2024 - 2024) -> トゥゲラノン・ヴァイキングズ (2025 - ),埼玉WK (2024 - 2024) -> トゥゲラノン・ヴァイキングズ (2025 - ),,,,,谷口 宜顕,league-one
Adrian Choat,エイドリアン ・チョウト,FL/No8,狭山セコムラガッツ（2025-26）,190.0,100.0,1997.11.20,28.0,リストンカレッジ,リストン大学,Auckland (2018 - 2018) -> Bristol Bears (2019 - 2020) -> Blues (2021 - 2025) -> 狭山セコムラガッツ (2025 - ),B,2,https://league-one.jp/player/484081,,Auckland (2018 - 2018) -> Bristol Bears (2019 - 2020) -> Blues (2021 - 2025) -> 狭山セコムラガッツ (2025 - ),,,,オークランド (2018 - 2018) -> ブリストル・ベアーズ (2019 - 2020) -> ブルーズ (2021 - 2025) -> Sayama Secom Rugguts (2025 - ),Auckland (2018 - 2018) -> Bristol Bears (2019 - 2020) -> Blues (2021 - 2025) -> 狭山セコムラガッツ (2025 - ),,,,,エイドリアン ・チョウト,
Sam Slade,サム ・スレイド,LO,狭山セコムラガッツ（2025-26）,197.0,116.0,1997.08.28,28.0,マウントアルバートグラマースクール,オークランド大学,マウントアルバートグラマースクール オークランド大学,C,2,https://league-one.jp/player/484082,,,,,,American Raptors (2019 - 2020) -> カウンティーズ・マヌカウ (2019 - 2022) -> モアナ・パシフィカ (2021 - 2025) -> ノース・ハーバー (2023 - 2024) -> 狭山セコムラガッツ (2025 - ),American Raptors (2019 - 2020) -> Counties Manukau Steelers (2019 - 2022) -> Moana Pasifika (2021 - 2025) -> North Harbour (2023 - 2024) -> Sayama Secom Rugguts (2025 - ),,,,,サム ・スレイド,
PJ Steenkamp,PJ ・スティーンカンプ,LO,狭山セコムラガッツ（2025-26）,196.0,117.0,1998.01.03,28.0,ホエスコール・ハ—スフォンテイン,ヨハナスブルク大学,ホエスコール・ハ—スフォンテイン ヨハナスブルク大学,B,5,https://league-one.jp/player/484083,,,,,,ライオンズ (2018 - 2022) -> ゴールデン・ライオンズ (2022 - 2023) -> 東芝ブレイブルーパス東京 (2023 - 2025) -> 狭山セコムラガッツ (2025 - ),Lions Rugby (2018 - 2022) -> Golden Lions (2022 - 2023) -> Toshiba Brave Lupus Tokyo (2023 - 2025) -> Sayama Secom Rugguts (2025 - ),,,,,PJ ・スティーンカンプ,
Tomasi Naibaruwaga,ナイバルワガ トマシ,WTB,狭山セコムラガッツ（2025-26）,180.0,98.0,2002.12.29,23.0,秋田工業高校,天理大学,秋田工業 天理大学,A,0,https://league-one.jp/player/484084,,,,,,Not Found,Not Found,,,,,ナイバルワガ トマシ,
Curtis Reid,カーティス ・リード,CTB,狭山セコムラガッツ（2025-26）,188.0,98.0,1994.12.11,31.0,ロングベイカレッジ,マッセー大学,ロングベイカレッジ マッセー大学,A,0,https://league-one.jp/player/484085,,,,,,秋田ノーザンブレッツ (2021 - 2025) -> 狭山セコムラガッツ (2025 - ),Akita Northern Bullets (2021 - 2025) -> Sayama Secom Rugguts (2025 - ),,,,,カーティス ・リード,
Daichi Inami,伊波 大地,PR,狭山セコムラガッツ（2025-26）,177.0,103.0,2002.10.20,23.0,東海大相模高校,東海大学,東海大相模高校 東海大学,A,0,https://league-one.jp/player/484086,,,,,,狭山セコムラガッツ (2025 - ),Sayama Secom Rugguts (2025 - ),,,,,伊波 大地,
Syoki Teranishi,寺西 翔生,HO,狭山セコムラガッツ（2025-26）,170.0,88.0,2002.05.21,23.0,常翔学園高校,天理大学,常翔学園高校 天理大学,A,1,https://league-one.jp/player/484087,,,,,,Not Found,Not Found,,,,,寺西 翔生,
Yuga Kawase,川瀬 悠河,LO,狭山セコムラガッツ（2025-26）,188.0,98.0,2002.04.03,23.0,東海大相模高校,東海大学,東海大相模高校 東海大学,A,0,https://league-one.jp/player/484088,,,,,,狭山セコムラガッツ (2025 - ),Sayama Secom Rugguts (2025 - ),,,,,川瀬 悠河,
Ryunosuke Fujiwara,藤原 竜之丞,WTB,狭山セコムラガッツ（2025-26）,169.0,73.0,2002.10.10,23.0,日本航空石川高校,天理大学,日本航空石川高校 天理大学,A,4,https://league-one.jp/player/484089,,,,,,狭山セコムラガッツ (2024 - ),Sayama Secom Rugguts (2024 - ),,,,,藤原 竜之丞,
