闍ｱ隱槫錐,驕ｸ謇句錐,繝昴ず繧ｷ繝ｧ繝ｳ,謇螻槭メ繝ｼ繝,霄ｫ髟ｷ,菴馴㍾,逕溷ｹｴ譛域律,蟷ｴ鮨｢,鬮俶｡,螟ｧ蟄ｦ,蜃ｺ霄ｫ譬｡繝ｻ繝√ｼ繝豁ｴ(蜈ｨ譁),繧ｫ繝ざ繝ｪ,繝ｪ繝ｼ繧ｰ繝ｯ繝ｳ繧ｭ繝｣繝謨ｰ,URL,Text_Detail,繧ｭ繝｣繝ｪ繧｢驕肴ｭｴ,莉｣陦ｨ繧ｭ繝｣繝謨ｰ,International_Caps,Scraped_Url
Hiroki Handa,蜊顔伐 陬募ｷｱ,SO,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,173,84,2001.11.29,24,螟ｩ逅ｫ俶｡,霑醍柄螟ｧ蟄ｦ,螟ｩ逅ｫ俶｡ 霑醍柄螟ｧ蟄ｦ,A,11,https://league-one.jp/player/483826,,,,,
Yujin Ikezawa,豎貔､ 菴大ｰｽ,SO,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,180,87,2001.10.11,24,譚ｱ遖丞ｲ｡鬮俶｡,髢｢隘ｿ螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡鬮俶｡ 髢｢隘ｿ螟ｧ蟄ｦ,A,3,https://league-one.jp/player/483827,,,,,
Yoji Shiina,讀主錐 閠莠,LO,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,180,97,2001.08.20,24,蟷募ｼｵ邱丞粋鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,蟷募ｼｵ邱丞粋鬮俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,14,https://league-one.jp/player/483828,,,,,
Katsuki Ishizuka,遏ｳ蝪 蜍晏ｷｱ,CTB,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,183,92,2001.07.06,24,譯占発蟄ｦ蝨帝ｫ俶｡,譏取ｲｻ螟ｧ蟄ｦ,譯占発蟄ｦ蝨帝ｫ俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,10,https://league-one.jp/player/483829,,,,,
Quinton Nicols,繧ｯ繧､繝ｳ繝医Φ 繝ｻ繝九さ繝ｩ繧ｹ,CTB,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,194,104,2002.04.16,23,繝槭え繝ｳ繝医い繝ｫ繝舌ｼ繝医げ繝ｩ繝槭ｼ繧ｫ繝ｬ鬮俶｡,,繝槭え繝ｳ繝医い繝ｫ繝舌ｼ繝医げ繝ｩ繝槭ｼ繧ｫ繝ｬ,B,1,https://league-one.jp/player/485717,,,,,
Junior Ahokovi,繧ｸ繝･繝九い 繝ｻ繧｢繝輔か繧ｳ繝,LO,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,196,108,2005.07.06,20,繧ｪ繝ｼ繧ｯ繝ｩ繝ｳ繝峨げ繝ｩ繝槭ｼ繧ｹ繧ｯ繝ｼ繝ｫ鬮俶｡,,繧ｪ繝ｼ繧ｯ繝ｩ繝ｳ繝峨げ繝ｩ繝槭ｼ繧ｹ繧ｯ繝ｼ繝ｫ,B,1,https://league-one.jp/player/485718,,,,,
Viliami Helu,繝ｴ繧｣繝ｪ繧｢繝 繝ｻ繝倥Ν,BR,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,193,107,1996.03.20,29,Monte鬮俶｡,Vista螟ｧ蟄ｦ,Monte Vista High School Saint Mary窶冱 College of Calif,C,1,https://league-one.jp/player/488097,,,,,
Sione Afemui,繧ｷ繧ｪ繝 繝ｻ繧｢繝輔ぉ繝繧､,,繧ｯ繝ｪ繧ｿ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ繧ｬ繝す繝･譏ｭ蟲ｶｼ2025-26ｼ,187,120,1999.01.30,26,繧ｻ繝ｳ繝医ヨ繝ｼ繝槭せ繧ｪ繝悶き繝ｳ繧ｿ繝吶Μ繝ｼ鬮俶｡,譛晄律螟ｧ蟄ｦ,繧ｻ繝ｳ繝医ヨ繝ｼ繝槭せ繧ｪ繝悶き繝ｳ繧ｿ繝吶Μ繝ｼ 譛晄律螟ｧ蟄ｦ,A,3,https://league-one.jp/player/488120,,,,,
Adrian Choat,繧ｨ繧､繝峨Μ繧｢繝ｳ 繝ｻ繝√Ι繧ｦ繝,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,190,100,1997.11.20,28,繝ｪ繧ｹ繝医Φ繧ｫ繝ｬ繝ず,繝ｪ繧ｹ繝医Φ螟ｧ蟄ｦ,繝ｪ繧ｹ繝医Φ繧ｫ繝ｬ繝ず 繝ｪ繧ｹ繝医Φ螟ｧ蟄ｦ,B,2,https://league-one.jp/player/484081,,,,,
Sam Slade,繧ｵ繝 繝ｻ繧ｹ繝ｬ繧､繝,LO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,197,116,1997.08.28,28,繝槭え繝ｳ繝医い繝ｫ繝舌ｼ繝医げ繝ｩ繝槭ｼ繧ｹ繧ｯ繝ｼ繝ｫ鬮俶｡,繧ｪ繝ｼ繧ｯ繝ｩ繝ｳ繝牙､ｧ蟄ｦ,繝槭え繝ｳ繝医い繝ｫ繝舌ｼ繝医げ繝ｩ繝槭ｼ繧ｹ繧ｯ繝ｼ繝ｫ 繧ｪ繝ｼ繧ｯ繝ｩ繝ｳ繝牙､ｧ蟄ｦ,C,2,https://league-one.jp/player/484082,,,,,
PJ Steenkamp,PJ 繝ｻ繧ｹ繝ぅ繝ｼ繝ｳ繧ｫ繝ｳ繝,LO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,196,117,1998.01.03,28,繝帙お繧ｹ繧ｳ繝ｼ繝ｫ繝ｻ繝鞘斐せ繝輔か繝ｳ繝う繝ｳ鬮俶｡,繝ｨ繝上リ繧ｹ繝悶Ν繧ｯ螟ｧ蟄ｦ,繝帙お繧ｹ繧ｳ繝ｼ繝ｫ繝ｻ繝鞘斐せ繝輔か繝ｳ繝う繝ｳ 繝ｨ繝上リ繧ｹ繝悶Ν繧ｯ螟ｧ蟄ｦ,B,5,https://league-one.jp/player/484083,,,,,
Tomasi Naibaruwaga,繝翫う繝舌Ν繝ｯ繧ｬ 繝医繧ｷ,WTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,180,98,2002.12.29,23,遘狗伐蟾･讌ｭ鬮俶｡,螟ｩ逅､ｧ蟄ｦ,遘狗伐蟾･讌ｭ 螟ｩ逅､ｧ蟄ｦ,A,0,https://league-one.jp/player/484084,,,,,
Curtis Reid,繧ｫ繝ｼ繝ぅ繧ｹ 繝ｻ繝ｪ繝ｼ繝,CTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,188,98,1994.12.11,31,繝ｭ繝ｳ繧ｰ繝吶う繧ｫ繝ｬ繝ず,繝槭ャ繧ｻ繝ｼ螟ｧ蟄ｦ,繝ｭ繝ｳ繧ｰ繝吶う繧ｫ繝ｬ繝ず 繝槭ャ繧ｻ繝ｼ螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484085,,,,,
Daichi Inami,莨頑ｳ｢ 螟ｧ蝨ｰ,PR,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,177,103,2002.10.20,23,譚ｱ豬ｷ螟ｧ逶ｸ讓｡鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,譚ｱ豬ｷ螟ｧ逶ｸ讓｡鬮俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484086,,,,,
Syoki Teranishi,蟇ｺ隘ｿ 鄙皮函,HO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,170,88,2002.05.21,23,蟶ｸ鄙泌ｭｦ蝨帝ｫ俶｡,螟ｩ逅､ｧ蟄ｦ,蟶ｸ鄙泌ｭｦ蝨帝ｫ俶｡ 螟ｩ逅､ｧ蟄ｦ,A,1,https://league-one.jp/player/484087,,,,,
Yuga Kawase,蟾晉ｬ 謔豐ｳ,LO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,188,98,2002.04.03,23,譚ｱ豬ｷ螟ｧ逶ｸ讓｡鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,譚ｱ豬ｷ螟ｧ逶ｸ讓｡鬮俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484088,,,,,
Ryunosuke Fujiwara,阯､蜴 遶應ｹ倶ｸ,WTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,169,73,2002.10.10,23,譌･譛ｬ闊ｪ遨ｺ遏ｳ蟾晞ｫ俶｡,螟ｩ逅､ｧ蟄ｦ,譌･譛ｬ闊ｪ遨ｺ遏ｳ蟾晞ｫ俶｡ 螟ｩ逅､ｧ蟄ｦ,A,4,https://league-one.jp/player/484089,,,,,
Ikki Morimoto,譽ｮ蜈 荳豌,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,169,93,2002.10.22,23,蟆ｾ驕馴ｫ俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,蟆ｾ驕馴ｫ俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,1,https://league-one.jp/player/484090,,,,,
Chase Tiatia,繝√ぉ繧､繧ｹ 繝ｻ繝ぅ繧｢繝ぅ繧｢,FB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,181,102,1995.10.14,30,St繝代ヨ繝ｪ繝け繧ｫ繝ｬ繝ず繝ｻ繧ｷ繝ｫ繝舌ｼ繧ｹ繝医Μ繝ｼ繝鬮俶｡,,St繝代ヨ繝ｪ繝け繧ｫ繝ｬ繝ず繝ｻ繧ｷ繝ｫ繝舌ｼ繧ｹ繝医Μ繝ｼ繝,B,18,https://league-one.jp/player/484091,,,,,
Daniel Waite,繝繝九お繝ｫ 繝ｻ繧ｦ繧ｧ繧､繝,SO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,181,92,1996.04.08,29,繝九Η繝ｼ繝励Μ繝槭せ繝ｻ繝懊ｼ繧､繧ｺ鬮俶｡,,繝九Η繝ｼ繝励Μ繝槭せ繝ｻ繝懊ｼ繧､繧ｺ鬮俶｡,B,11,https://league-one.jp/player/484092,,,,,
Whetukamokamo Douglas,繝輔ぉ繝医ぇ繧ｫ繝｢繧ｫ繝｢ 繝ｻ繝繧ｰ繝ｩ繧ｹ,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,191,111,1991.04.18,34,繧ｮ繧ｺ繝懊ｼ繝ｳ鬮俶｡,繝ｯ繧､繧ｫ繝亥､ｧ蟄ｦ,繧ｮ繧ｺ繝懊ｼ繝ｳ鬮俶｡ 繝ｯ繧､繧ｫ繝亥､ｧ蟄ｦ,A,48,https://league-one.jp/player/484093,,,,,
TJ Faiane,繝ぅ繧ｸ繧ｧ繧､ 繝ｻ繝輔ぃ繧､繧｢繝,CTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,180,95,1995.08.24,30,繧ｻ繝ｳ繝医こ繝ｳ繝ぅ繧ｬ繝ｳ鬮俶｡,,繧ｻ繝ｳ繝医こ繝ｳ繝ぅ繧ｬ繝ｳ鬮俶｡,B,15,https://league-one.jp/player/484094,,,,,
Troy Callander,繝医Ο繧､ 繝ｻ繧ｫ繝ｬ繝ｳ繝繝ｼ,LO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,198,111,1994.12.27,31,繧ｪ繧ｿ繧ｴ繝懊ｼ繧､繧ｺ鬮俶｡,,繧ｪ繧ｿ繧ｴ繝懊ｼ繧､繧ｺ鬮俶｡,A,17,https://league-one.jp/player/484095,,,,,
Kazuki Ikemura,豎譚 蜀ｬ邏,CTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,178,91,2002.01.11,23,蟾晏哨鬮俶｡,螻ｱ譴ｨ蟄ｦ髯｢螟ｧ蟄ｦ,蟾晏哨鬮俶｡ 螻ｱ譴ｨ蟄ｦ髯｢螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484096,,,,,
Motoki Kaneko,驥大ｭ 蜈ｴ,PR,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,180,116,2001.03.21,24,蟾晏哨鬮俶｡,遶区ｭ｣螟ｧ蟄ｦ,蟾晏哨鬮俶｡ 遶区ｭ｣螟ｧ蟄ｦ,A,11,https://league-one.jp/player/484097,,,,,
Minato Jinnouchi,髯｣蜀 貅先沫,HO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,162,92,2001.02.10,24,蟆ｾ驕馴ｫ俶｡,遶区ｭ｣螟ｧ蟄ｦ,蟆ｾ驕馴ｫ俶｡ 遶区ｭ｣螟ｧ蟄ｦ,A,1,https://league-one.jp/player/484098,,,,,
Keito Tahara,逕ｰ蜴 諷ｶ莠ｺ,SH,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,163,70,2000.06.25,25,遏ｳ隕区匱鄙鬢ｨ鬮俶｡,霑醍柄螟ｧ蟄ｦ,遏ｳ隕区匱鄙鬢ｨ鬮俶｡ 霑醍柄螟ｧ蟄ｦ,A,1,https://league-one.jp/player/484099,,,,,
Yosuke Okuma,螟ｧ辭 髯ｽ莉,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,180,96,1998.04.29,27,蝨句ｭｸ髯｢譬惠鬮俶｡,蜷悟ｿ礼､ｾ螟ｧ蟄ｦ,蝨句ｭｸ髯｢譬惠鬮俶｡ 蜷悟ｿ礼､ｾ螟ｧ蟄ｦ,A,6,https://league-one.jp/player/484100,,,,,
Riku Mizuno,豌ｴ驥 髯ｸ,WTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,175,86,2001.12.21,24,譚ｱ莠ｬ鬮俶｡,荳ｭ螟ｮ螟ｧ蟄ｦ,譚ｱ莠ｬ鬮俶｡ 荳ｭ螟ｮ螟ｧ蟄ｦ,A,2,https://league-one.jp/player/484101,,,,,
Tatsuki Kanza,逾槫ｺｧ 遶区ｨｹ,WTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,178,85,1998.04.25,27,蟆ゆｿｮ螟ｧ蟄ｦ譚ｾ謌ｸ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,蟆ゆｿｮ螟ｧ蟄ｦ譚ｾ謌ｸ鬮俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,9,https://league-one.jp/player/484102,,,,,
Koki Iida,鬟ｯ逕ｰ 蜈臥ｴ,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,168,85,1999.09.30,26,譌･蟾晞ｫ俶｡,譌･譛ｬ螟ｧ蟄ｦ,譌･蟾晞ｫ俶｡ 譌･譛ｬ螟ｧ蟄ｦ,A,12,https://league-one.jp/player/484103,,,,,
Ash Paker,繝代ｼ繧ｫ繝ｼ 繧｢繝す繝･,,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,187,108,1988.11.01,37,繧ｻ繝ｳ繝医ヰ繝ｼ繝翫ｼ繝蛾ｫ俶｡,繝薙け繝医Μ繧｢螟ｧ蟄ｦ,繧ｻ繝ｳ繝医ヰ繝ｼ繝翫ｼ繝蛾ｫ俶｡ 繝薙け繝医Μ繧｢螟ｧ蟄ｦ,A,27,https://league-one.jp/player/484104,,,,,
Naoto Shirakawa,逋ｽ蟾 逶ｴ莠ｺ,PR,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,174,108,1996.11.22,29,譯るｫ俶｡,譌･譛ｬ螟ｧ蟄ｦ,譯るｫ俶｡ 譌･譛ｬ螟ｧ蟄ｦ,A,12,https://league-one.jp/player/484105,,,,,
Kentaro Ueno,荳企㍽ 諡ｳ螟ｪ驛,PR,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,169,106,1994.05.10,31,譌･螟ｧ阯､豐｢鬮俶｡,譌･譛ｬ菴楢ご螟ｧ蟄ｦ,譌･螟ｧ阯､豐｢鬮俶｡ 譌･譛ｬ菴楢ご螟ｧ蟄ｦ,A,19,https://league-one.jp/player/484106,,,,,
Haruya Nakasu,荳ｭ豢ｲ 譎ｴ髯ｽ,CTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,174,88,2000.01.10,25,遲醍ｴｫ鬮俶｡,霑醍柄螟ｧ蟄ｦ,遲醍ｴｫ鬮俶｡ 霑醍柄螟ｧ蟄ｦ,A,18,https://league-one.jp/player/484107,,,,,
Yudai Ishii,遏ｳ莠 髮､ｧ,FB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,171,78,1997.02.26,28,蝨句ｭｸ髯｢譬惠鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,蝨句ｭｸ髯｢譬惠鬮俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,8,https://league-one.jp/player/484108,,,,,
Sotaro Tanaka,逕ｰ荳ｭ 蜑ｵ螟ｪ驛,PR,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,175,108,2001.10.29,24,蝨句ｭｸ髯｢荵⒧螻ｱ鬮俶｡,髱貞ｱｱ蟄ｦ髯｢螟ｧ蟄ｦ,蝨句ｭｸ髯｢荵⒧螻ｱ鬮俶｡ 髱貞ｱｱ蟄ｦ髯｢螟ｧ蟄ｦ,A,4,https://league-one.jp/player/484109,,,,,
Yoshihiro Noguchi,驥主哨 螳懆｣,WTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,169,71,1994.12.26,31,譌ｩ遞ｲ逕ｰ鞫る匏鬮俶｡,蟆ゆｿｮ螟ｧ蟄ｦ,譌ｩ遞ｲ逕ｰ鞫る匏鬮俶｡ 蟆ゆｿｮ螟ｧ蟄ｦ,A,2,https://league-one.jp/player/484110,,,,,
Fugo Takada,鬮,HO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,174,102,1999.06.01,26,譯占発蟄ｦ蝨帝ｫ俶｡,遲第ｳ｢螟ｧ蟄ｦ,譯占発蟄ｦ蝨帝ｫ俶｡ 遲第ｳ｢螟ｧ蟄ｦ,A,1,https://league-one.jp/player/484128,,,,,
Eito Tsutsumi,蝣､ 闍ｱ逋ｻ,SH,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,163,68,1997.06.19,28,菴占ｳ蟾･讌ｭ鬮俶｡,譌･譛ｬ菴楢ご螟ｧ蟄ｦ,菴占ｳ蟾･讌ｭ鬮俶｡ 譌･譛ｬ菴楢ご螟ｧ蟄ｦ,A,12,https://league-one.jp/player/484112,,,,,
Fisipuna Tuiaki,繝輔ぅ繧ｷ繝励リ 繝ｻ繝医ぇ繧､繧｢繧ｭ,CTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,188,108,1995.01.23,30,譌･譛ｬ闊ｪ遨ｺ遏ｳ蟾晞ｫ俶｡,螟ｩ逅､ｧ蟄ｦ,譌･譛ｬ闊ｪ遨ｺ遏ｳ蟾晞ｫ俶｡ 螟ｩ逅､ｧ蟄ｦ,A,20,https://league-one.jp/player/484113,,,,,
Shogo Murakami,譚台ｸ 鄙疲｢ｧ,PR,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,178,113,1996.08.01,29,譁ｰ逕ｰ鬮俶｡,遶区ｭ｣螟ｧ蟄ｦ,譁ｰ逕ｰ鬮俶｡ 遶区ｭ｣螟ｧ蟄ｦ,A,4,https://league-one.jp/player/484114,,,,,
Yuki Tsujioka,霎ｻ蟯｡ 蜆ｪ蟶,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,182,98,2001.07.26,24,蜥梧ｭ悟ｱｱ蟾･讌ｭ鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,蜥梧ｭ悟ｱｱ蟾･讌ｭ鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,4,https://league-one.jp/player/484115,,,,,
Tatsuki Tanina,隹ｷ蜷 讓ｹ,HO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,175,98,2000.08.20,25,蟒ｶ蟯｡譏滄峇鬮俶｡,譚ｱ豢句､ｧ蟄ｦ,蟒ｶ蟯｡譏滄峇鬮俶｡ 譚ｱ豢句､ｧ蟄ｦ,A,17,https://league-one.jp/player/484116,,,,,
Kosei Kanda,逾樒伐 蠎ｷ逕,LO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,194,105,2001.04.27,24,鮖ｿ蜈仙ｳｶ蟾･讌ｭ鬮俶｡,豬夂ｵ梧ｸ亥､ｧ蟄ｦ,鮖ｿ蜈仙ｳｶ蟾･讌ｭ鬮俶｡ 豬夂ｵ梧ｸ亥､ｧ蟄ｦ,A,0,https://league-one.jp/player/484117,,,,,
Kaito Sugahara,闖⒦次 豬ｷ莠ｺ,SO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,171,83,2000.08.21,25,莠ｬ驛ｽ蟾･蟄ｦ髯｢鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,莠ｬ驛ｽ蟾･蟄ｦ髯｢鬮俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,2,https://league-one.jp/player/484118,,,,,
Shota Okuno,螂･驥 鄙泌､ｪ,HO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,177,101,2000.01.15,25,蟶ｸ鄙泌ｭｦ蝨帝ｫ俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,蟶ｸ鄙泌ｭｦ蝨帝ｫ俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,18,https://league-one.jp/player/484119,,,,,
Ryusuke Yamamoto,螻ｱ譛ｬ 鮴堺ｺｮ,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,179,97,1998.06.22,27,譯占発蟄ｦ蝨帝ｫ俶｡,譏取ｲｻ螟ｧ蟄ｦ,譯占発蟄ｦ蝨帝ｫ俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,2,https://league-one.jp/player/484120,,,,,
Shota Kutsuna,蠢ｽ驍｣ 髏伜､ｪ,SO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,180,86,1997.03.19,28,遏ｳ隕区匱鄙鬢ｨ鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,遏ｳ隕区匱鄙鬢ｨ鬮俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,12,https://league-one.jp/player/484121,,,,,
Kazuki Asakura,譛晏 荳遞,LO,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,184,107,1994.08.06,31,蟷ｳ蝪壼ｭｦ蝨帝ｫ俶｡,蝗ｽ螢ｫ闊伜､ｧ蟄ｦ,蟷ｳ蝪壼ｭｦ蝨帝ｫ俶｡ 蝗ｽ螢ｫ闊伜､ｧ蟄ｦ,A,5,https://league-one.jp/player/484122,,,,,
Yushi Okuda,螂･逕ｰ 蜍㍾ｿ,WTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,176,84,2001.10.05,24,譁ｰ貎溷ｷ･讌ｭ鬮俶｡,諡捺ｮ門､ｧ蟄ｦ,譁ｰ貎溷ｷ･讌ｭ鬮俶｡ 諡捺ｮ門､ｧ蟄ｦ,A,15,https://league-one.jp/player/484124,,,,,
Kanta Noguchi,驥主哨 蟷ｹ螟ｪ,FB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,175,82,1999.09.25,26,譚ｱ莠ｬ鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,譚ｱ莠ｬ鬮俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484125,,,,,
Kento Mizutani,豌ｴ隹ｷ 蛛･莠ｺ,FL,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,183,99,1997.11.12,28,遘狗伐蟾･讌ｭ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,遘狗伐蟾･讌ｭ鬮俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,19,https://league-one.jp/player/484126,,,,,
Tatsuya Hayashi,譫 霎ｰ蜩,CTB,迢ｭ螻ｱ繧ｻ繧ｳ繝繝ｩ繧ｬ繝ヤｼ2025-26ｼ,170,84,2000.05.19,25,遏ｳ隕区匱鄙鬢ｨ鬮俶｡,諡捺ｮ門､ｧ蟄ｦ,遏ｳ隕区匱鄙鬢ｨ鬮俶｡ 諡捺ｮ門､ｧ蟄ｦ,A,0,https://league-one.jp/player/484127,,,,,
