英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,選手名_カタカナ
Job POULET,Job POULET,CTB,ペルピニャン,180,79,2003.04.30,,,,ES Vinassan (2008 - 2016) -> Entente Fleury Salles Coursan xv (2016 - 2018) -> Racing Club Narbonnais (2018 - 2021) -> Racing 92 (2021 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2026),A,0,https://all.rugby/player/job-poulet,,ES Vinassan (2008 - 2016) -> Entente Fleury Salles Coursan xv (2016 - 2018) -> Racing Club Narbonnais (2018 - 2021) -> Racing 92 (2021 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2026),,,https://all.rugby/player/job-poulet,ES Vinassan (2008 - 2016) -> Entente Fleury Salles Coursan xv (2016 - 2018) -> Racing Club Narbonnais (2018 - 2021) -> Racing 92 (2021 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2026),ジョブ・プレ
Riko BULIRUARUA,Riko BULIRUARUA,CTB,ペルピニャン,186,106,1997.01.23,,,,Marist Brothers High School (2015 - 2016) -> Rugby Club Toulonnais (2016 - 2019) -> CA Brive Corrèze Limousin (2019 - 2021) -> Stade Rochelais (2021 - 2022) -> Aviron Bayonnais (2022 - 2024) -> Union Sportive Arlequins Perpignanais (2024 - 2026),A,0,https://all.rugby/player/rico-buliruarua,,Marist Brothers High School (2015 - 2016) -> Rugby Club Toulonnais (2016 - 2019) -> CA Brive Corrèze Limousin (2019 - 2021) -> Stade Rochelais (2021 - 2022) -> Aviron Bayonnais (2022 - 2024) -> Union Sportive Arlequins Perpignanais (2024 - 2026),,,https://all.rugby/player/rico-buliruarua,Marist Brothers High School (2015 - 2016) -> Rugby Club Toulonnais (2016 - 2019) -> CA Brive Corrèze Limousin (2019 - 2021) -> Stade Rochelais (2021 - 2022) -> Aviron Bayonnais (2022 - 2024) -> Union Sportive Arlequins Perpignanais (2024 - 2026),リコ・ブリルアルア
Jefferson-Lee JOSEPH,Jefferson-Lee JOSEPH,WTB,ペルピニャン,192,90,2002.08.28,,,,AOCC Duras XV (2010 - 2013) -> RC Bazeillais (2014 - 2015) -> CA Lormont HG (2015 - 2017) -> Sporting Union Agenais (2017 - 2024) -> Union Sportive Arlequins Perpignanais (2024 - 2026),A,0,https://all.rugby/player/jefferson-joseph,,AOCC Duras XV (2010 - 2013) -> RC Bazeillais (2014 - 2015) -> CA Lormont HG (2015 - 2017) -> Sporting Union Agenais (2017 - 2024) -> Union Sportive Arlequins Perpignanais (2024 - 2026),,,https://all.rugby/player/jefferson-joseph,AOCC Duras XV (2010 - 2013) -> RC Bazeillais (2014 - 2015) -> CA Lormont HG (2015 - 2017) -> Sporting Union Agenais (2017 - 2024) -> Union Sportive Arlequins Perpignanais (2024 - 2026),ジェファーソン＝リー-ジョセフ
Jordan PETAIA,Jordan PETAIA,WTB,ペルピニャン,190,102,2000.03.14,,,,Queensland Reds (2017 - 2024) -> Los Angeles Chargers (2024 - 2025) -> Union Sportive Arlequins Perpignanais (2025 - 2026),A,0,https://all.rugby/player/jordan-petaia,,Queensland Reds (2017 - 2024) -> Los Angeles Chargers (2024 - 2025) -> Union Sportive Arlequins Perpignanais (2025 - 2026),Australia,Australia,https://all.rugby/player/jordan-petaia,Queensland Reds (2017 - 2024) -> Los Angeles Chargers (2024 - 2025) -> Union Sportive Arlequins Perpignanais (2025 - 2026),ジョーダン・ペタイア
Maxim GRANELL,Maxim GRANELL,WTB,ペルピニャン,182,80,//2005,,,,Entente de la Têt (2010 - 2015) -> Union Sportive Arlequins Perpignanais (2015 - 2026),A,0,https://all.rugby/player/maxim-granell,,Entente de la Têt (2010 - 2015) -> Union Sportive Arlequins Perpignanais (2015 - 2026),,,https://all.rugby/player/maxim-granell,Entente de la Têt (2010 - 2015) -> Union Sportive Arlequins Perpignanais (2015 - 2026),マキシム・グラネル
Tavite VEREDAMU,Tavite VEREDAMU,WTB,ペルピニャン,192,108,1989.09.01,,,,Rugby Club Nîmois (2010 - 2018) -> France 7 (2018 - 2020) -> ASM Clermont Auvergne (2020 - 2020) -> France 7 (2020 - 2020) -> ASM Clermont Auvergne (2021 - 2021) -> France 7 (2021 - 2021) -> Lyon Olympique Universitaire Rugby (2021 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2026),A,0,https://all.rugby/player/tavite-veredamu,,Rugby Club Nîmois (2010 - 2018) -> France 7 (2018 - 2020) -> ASM Clermont Auvergne (2020 - 2020) -> France 7 (2020 - 2020) -> ASM Clermont Auvergne (2021 - 2021) -> France 7 (2021 - 2021) -> Lyon Olympique Universitaire Rugby (2021 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2026),Fiji,Fiji,https://all.rugby/player/tavite-veredamu,Rugby Club Nîmois (2010 - 2018) -> France 7 (2018 - 2020) -> ASM Clermont Auvergne (2020 - 2020) -> France 7 (2020 - 2020) -> ASM Clermont Auvergne (2021 - 2021) -> France 7 (2021 - 2021) -> Lyon Olympique Universitaire Rugby (2021 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2026),タヴィテ・ヴェレダム
Lucas DUBOIS,Lucas DUBOIS,FB,ペルピニャン,188,92,1998.06.09,,,,AS Bages Villeneuve (2006 - 2012) -> Union Sportive Arlequins Perpignanais (2013 - 2026),A,0,https://all.rugby/player/lucas-dubois,,AS Bages Villeneuve (2006 - 2012) -> Union Sportive Arlequins Perpignanais (2013 - 2026),,,https://all.rugby/player/lucas-dubois,AS Bages Villeneuve (2006 - 2012) -> Union Sportive Arlequins Perpignanais (2013 - 2026),ルカス・デュボワ
Mayron FAHY,Mayron FAHY,FB,ペルピニャン,,,//2007,,,,RC Salanque XV (2013 - 2022) -> Union Sportive Arlequins Perpignanais (2022 - 2026),A,0,https://all.rugby/player/mayron-fahy,,RC Salanque XV (2013 - 2022) -> Union Sportive Arlequins Perpignanais (2022 - 2026),,,https://all.rugby/player/mayron-fahy,RC Salanque XV (2013 - 2022) -> Union Sportive Arlequins Perpignanais (2022 - 2026),メイロン・フェイヒー
Théo FORNER,Théo FORNER,FB,ペルピニャン,180,80,2001.10.17,,,,"Espira-de-l'Agly, Baixas et Peyrestortes (2006 - 2017) -> JO Prades Conflent Canigou (2017 - 2018) -> US Thuirnoise (2018 - 2019) -> Union Sportive Arlequins Perpignanais (2019 - 2026)",A,0,https://all.rugby/player/theo-forner,,"Espira-de-l'Agly, Baixas et Peyrestortes (2006 - 2017) -> JO Prades Conflent Canigou (2017 - 2018) -> US Thuirnoise (2018 - 2019) -> Union Sportive Arlequins Perpignanais (2019 - 2026)",,,https://all.rugby/player/theo-forner,"Espira-de-l'Agly, Baixas et Peyrestortes (2006 - 2017) -> JO Prades Conflent Canigou (2017 - 2018) -> US Thuirnoise (2018 - 2019) -> Union Sportive Arlequins Perpignanais (2019 - 2026)",テオ・フォルネ
Andy BORDELAI,Andy BORDELAI,PR,バイヨンヌ,186,117,2000.03.29,,,,Rugby Créteil Choisy (2012 - 2014) -> Rugby Club Massy Essonne (2014 - 2018) -> Racing 92 (2018 - 2021) -> Rugby Club Vannes (2021 - 2024) -> Aviron Bayonnais (2024 - 2026),A,0,https://all.rugby/player/andy-bordelai,,Rugby Créteil Choisy (2012 - 2014) -> Rugby Club Massy Essonne (2014 - 2018) -> Racing 92 (2018 - 2021) -> Rugby Club Vannes (2021 - 2024) -> Aviron Bayonnais (2024 - 2026),,,https://all.rugby/player/andy-bordelai,Rugby Créteil Choisy (2012 - 2014) -> Rugby Club Massy Essonne (2014 - 2018) -> Racing 92 (2018 - 2021) -> Rugby Club Vannes (2021 - 2024) -> Aviron Bayonnais (2024 - 2026),アンディ-ボルドライ
Emerick SETIANO,Emerick SETIANO,PR,バイヨンヌ,183,115,1996.07.19,,,,SCO RC Angers (2002 - 2011) -> Pôle Espoirs de Tours (2011 - 2014) -> Rugby Club Toulonnais (2014 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/emerick-setiano,,SCO RC Angers (2002 - 2011) -> Pôle Espoirs de Tours (2011 - 2014) -> Rugby Club Toulonnais (2014 - 2025) -> Aviron Bayonnais (2025 - 2026),France,France,https://all.rugby/player/emerick-setiano,SCO RC Angers (2002 - 2011) -> Pôle Espoirs de Tours (2011 - 2014) -> Rugby Club Toulonnais (2014 - 2025) -> Aviron Bayonnais (2025 - 2026),エメリック・セティアーノ
Hugo GONZÁLEZ,Hugo GONZÁLEZ,PR,バイヨンヌ,184,119,//2005,,,,Complutense Cisneros (2023 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/hugo-gonzalez,,Complutense Cisneros (2023 - 2025) -> Aviron Bayonnais (2025 - 2026),Spain,Spain,https://all.rugby/player/hugo-gonzalez,Complutense Cisneros (2023 - 2025) -> Aviron Bayonnais (2025 - 2026),ユーゴー-ゴンザレス
Ignacio CALLES,Ignacio CALLES,PR,バイヨンヌ,187,116,1995.10.24,,,,Liceo Naval (2015 - 2016) -> Section Paloise Béarn Pyrénées (2016 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/ignacio-calles,,Liceo Naval (2015 - 2016) -> Section Paloise Béarn Pyrénées (2016 - 2025) -> Aviron Bayonnais (2025 - 2026),,,https://all.rugby/player/ignacio-calles,Liceo Naval (2015 - 2016) -> Section Paloise Béarn Pyrénées (2016 - 2025) -> Aviron Bayonnais (2025 - 2026),イグナシオ-カイェス
Luke TAGI,Luke TAGI,PR,バイヨンヌ,187,130,1997.06.23,,,,Fijian Drua (2018 - 2019) -> Stade Français Paris Rugby (2019 - 2021) -> Provence Rugby (2021 - 2023) -> Aviron Bayonnais (2023 - 2026),A,0,https://all.rugby/player/luke-tagi,,Fijian Drua (2018 - 2019) -> Stade Français Paris Rugby (2019 - 2021) -> Provence Rugby (2021 - 2023) -> Aviron Bayonnais (2023 - 2026),,,https://all.rugby/player/luke-tagi,Fijian Drua (2018 - 2019) -> Stade Français Paris Rugby (2019 - 2021) -> Provence Rugby (2021 - 2023) -> Aviron Bayonnais (2023 - 2026),ルーク・タギ
Pascal COTET,Pascal COTET,PR,バイヨンヌ,184,128,1993.10.12,,,,Union Sportive Arlequins Perpignanais (2013 - 2015) -> Racing Club Narbonnais (2015 - 2016) -> Oyonnax Rugby (2016 - 2017) -> RC Aubenas Vals (2017 - 2018) -> Racing Club Narbonnais (2018 - 2022) -> Aviron Bayonnais (2022 - 2026),A,0,https://all.rugby/player/pascal-cotet,,Union Sportive Arlequins Perpignanais (2013 - 2015) -> Racing Club Narbonnais (2015 - 2016) -> Oyonnax Rugby (2016 - 2017) -> RC Aubenas Vals (2017 - 2018) -> Racing Club Narbonnais (2018 - 2022) -> Aviron Bayonnais (2022 - 2026),,,https://all.rugby/player/pascal-cotet,Union Sportive Arlequins Perpignanais (2013 - 2015) -> Racing Club Narbonnais (2015 - 2016) -> Oyonnax Rugby (2016 - 2017) -> RC Aubenas Vals (2017 - 2018) -> Racing Club Narbonnais (2018 - 2022) -> Aviron Bayonnais (2022 - 2026),パスカル・コテ
Pierre CASTILLON,Pierre CASTILLON,PR,バイヨンヌ,185,106,2003.09.20,,,,US Saint-Palais Amikuze (2009 - 2018) -> Aviron Bayonnais (2018 - 2026),A,0,https://all.rugby/player/pierre-castillon,,US Saint-Palais Amikuze (2009 - 2018) -> Aviron Bayonnais (2018 - 2026),,,https://all.rugby/player/pierre-castillon,US Saint-Palais Amikuze (2009 - 2018) -> Aviron Bayonnais (2018 - 2026),ピエール・カスティヨン
Swan CORMENIER,Swan CORMENIER,PR,バイヨンヌ,178,120,1996.01.18,,,,CA Brive Corrèze Limousin (2014 - 2017) -> Sporting Club Albigeois (2017 - 2019) -> Aviron Bayonnais (2019 - 2026),A,0,https://all.rugby/player/swan-cormenier,,CA Brive Corrèze Limousin (2014 - 2017) -> Sporting Club Albigeois (2017 - 2019) -> Aviron Bayonnais (2019 - 2026),,,https://all.rugby/player/swan-cormenier,CA Brive Corrèze Limousin (2014 - 2017) -> Sporting Club Albigeois (2017 - 2019) -> Aviron Bayonnais (2019 - 2026),スワン・コルムニエ
Tevita TATAFU,Tevita TATAFU,PR,バイヨンヌ,185,140,2002.10.13,,,,Aviron Bayonnais (2019 - 2026),A,0,https://all.rugby/player/tevita-tatafu,,Aviron Bayonnais (2019 - 2026),Tonga,Tonga,https://all.rugby/player/tevita-tatafu,Aviron Bayonnais (2019 - 2026),テヴィタ・タタフ
Facundo BOSCH,Facundo BOSCH,HO,バイヨンヌ,180,102,1991.08.08,,,,Jaguares (2015 - 2017) -> Sporting Union Agenais (2017 - 2019) -> Stade Rochelais (2019 - 2022) -> Aviron Bayonnais (2022 - 2026),A,0,https://all.rugby/player/facundo-bosch,,Jaguares (2015 - 2017) -> Sporting Union Agenais (2017 - 2019) -> Stade Rochelais (2019 - 2022) -> Aviron Bayonnais (2022 - 2026),Argentina,Argentina,https://all.rugby/player/facundo-bosch,Jaguares (2015 - 2017) -> Sporting Union Agenais (2017 - 2019) -> Stade Rochelais (2019 - 2022) -> Aviron Bayonnais (2022 - 2026),ファクンド-ボッシュ
Lucas MARTIN,Lucas MARTIN,HO,バイヨンヌ,189,105,2002.12.09,,,,Ent Rugby CL Gignac Marignane (2010 - 2014) -> Pennes-Mirabeau Cadeneaux Rugby (2014 - 2017) -> Provence Rugby (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),A,0,https://all.rugby/player/lucas-martin,,Ent Rugby CL Gignac Marignane (2010 - 2014) -> Pennes-Mirabeau Cadeneaux Rugby (2014 - 2017) -> Provence Rugby (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),,,https://all.rugby/player/lucas-martin,Ent Rugby CL Gignac Marignane (2010 - 2014) -> Pennes-Mirabeau Cadeneaux Rugby (2014 - 2017) -> Provence Rugby (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),ルカス・マルティン
Vincent GIUDICELLI,Vincent GIUDICELLI,HO,バイヨンヌ,184,104,1997.06.25,,,,Montpellier Hérault Rugby (2004 - 2016) -> Lyon Olympique Universitaire Rugby (2016 - 2017) -> Montpellier Hérault Rugby (2017 - 2023) -> Aviron Bayonnais (2023 - 2026),A,0,https://all.rugby/player/vincent-giudicelli,,Montpellier Hérault Rugby (2004 - 2016) -> Lyon Olympique Universitaire Rugby (2016 - 2017) -> Montpellier Hérault Rugby (2017 - 2023) -> Aviron Bayonnais (2023 - 2026),,,https://all.rugby/player/vincent-giudicelli,Montpellier Hérault Rugby (2004 - 2016) -> Lyon Olympique Universitaire Rugby (2016 - 2017) -> Montpellier Hérault Rugby (2017 - 2023) -> Aviron Bayonnais (2023 - 2026),ヴァンサン・ジュディチェリ
Alex MOON,Alex MOON,LO,バイヨンヌ,202,127,1996.09.06,,,,Northampton Saints (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),A,0,https://all.rugby/player/alex-moon,,Northampton Saints (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),,,https://all.rugby/player/alex-moon,Northampton Saints (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),アレックス・ムーン
Ewan JOHNSON,Ewan JOHNSON,LO,バイヨンヌ,202,120,1999.06.27,,,,Plouzané (2012 - 2017) -> Racing 92 (2017 - 2020) -> Rugby Club Vannes (2020 - 2023) -> Oyonnax Rugby (2023 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/ewan-johnson,,Plouzané (2012 - 2017) -> Racing 92 (2017 - 2020) -> Rugby Club Vannes (2020 - 2023) -> Oyonnax Rugby (2023 - 2025) -> Aviron Bayonnais (2025 - 2026),Scotland,Scotland,https://all.rugby/player/ewan-johnson,Plouzané (2012 - 2017) -> Racing 92 (2017 - 2020) -> Rugby Club Vannes (2020 - 2023) -> Oyonnax Rugby (2023 - 2025) -> Aviron Bayonnais (2025 - 2026),ユアン・ジョンソン
Lucas PAULOS,Lucas PAULOS,LO,バイヨンヌ,199,123,1998.01.09,,,,Stade Montois Rugby Pro (2014 - 2017) -> Olivos RC (2017 - 2018) -> Jaguares (2018 - 2020) -> CA Brive Corrèze Limousin (2020 - 2023) -> Aviron Bayonnais (2023 - 2026),A,0,https://all.rugby/player/lucas-paulos,,Stade Montois Rugby Pro (2014 - 2017) -> Olivos RC (2017 - 2018) -> Jaguares (2018 - 2020) -> CA Brive Corrèze Limousin (2020 - 2023) -> Aviron Bayonnais (2023 - 2026),Argentina,Argentina,https://all.rugby/player/lucas-paulos,Stade Montois Rugby Pro (2014 - 2017) -> Olivos RC (2017 - 2018) -> Jaguares (2018 - 2020) -> CA Brive Corrèze Limousin (2020 - 2023) -> Aviron Bayonnais (2023 - 2026),ルカス・パウロス
Alexandre FISCHER,Alexandre FISCHER,FL/NO8,バイヨンヌ,188,107,1998.01.19,,,,US Issoire (2011 - 2013) -> ASM Clermont Auvergne (2013 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/alexandre-fischer,,US Issoire (2011 - 2013) -> ASM Clermont Auvergne (2013 - 2025) -> Aviron Bayonnais (2025 - 2026),France,France,https://all.rugby/player/alexandre-fischer,US Issoire (2011 - 2013) -> ASM Clermont Auvergne (2013 - 2025) -> Aviron Bayonnais (2025 - 2026),アレクサンドル-フィッシャー
Arthur ITURRIA,Arthur ITURRIA,FL/NO8,バイヨンヌ,198,112,1994.05.13,,,,Aviron Bayonnais (2011 - 2012) -> ASM Clermont Auvergne (2012 - 2023) -> Aviron Bayonnais (2023 - 2026),A,0,https://all.rugby/player/arthur-iturria,,Aviron Bayonnais (2011 - 2012) -> ASM Clermont Auvergne (2012 - 2023) -> Aviron Bayonnais (2023 - 2026),France,France,https://all.rugby/player/arthur-iturria,Aviron Bayonnais (2011 - 2012) -> ASM Clermont Auvergne (2012 - 2023) -> Aviron Bayonnais (2023 - 2026),アルチュール・イトゥリア
Baptiste CHOUZENOUX,Baptiste CHOUZENOUX,FL/NO8,バイヨンヌ,202,107,1993.08.07,,,,Aviron Bayonnais (2009 - 2017) -> Racing 92 (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),A,0,https://all.rugby/player/baptiste-chouzenoux,,Aviron Bayonnais (2009 - 2017) -> Racing 92 (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),,,https://all.rugby/player/baptiste-chouzenoux,Aviron Bayonnais (2009 - 2017) -> Racing 92 (2017 - 2024) -> Aviron Bayonnais (2024 - 2026),バティスト・シュゼヌー
Baptiste HÉGUY,Baptiste HÉGUY,FL/NO8,バイヨンヌ,196,108,1998.05.11,,,,Aviron Bayonnais (2012 - 2026),A,0,https://all.rugby/player/baptiste-heguy,,Aviron Bayonnais (2012 - 2026),,,https://all.rugby/player/baptiste-heguy,Aviron Bayonnais (2012 - 2026),バティスト・エギ
Esteban CAPILLA,Esteban CAPILLA,FL/NO8,バイヨンヌ,198,100,2003.01.05,,,,AS Bayonne (2010 - 2013) -> US Mouguerre (2013 - 2015) -> AS Sain-Martin-de-Seignanx (2015 - 2016) -> Aviron Bayonnais (2016 - 2026),A,0,https://all.rugby/player/esteban-capilla,,AS Bayonne (2010 - 2013) -> US Mouguerre (2013 - 2015) -> AS Sain-Martin-de-Seignanx (2015 - 2016) -> Aviron Bayonnais (2016 - 2026),,,https://all.rugby/player/esteban-capilla,AS Bayonne (2010 - 2013) -> US Mouguerre (2013 - 2015) -> AS Sain-Martin-de-Seignanx (2015 - 2016) -> Aviron Bayonnais (2016 - 2026),エステバン・カピジャ
Giovanni HABEL-KUEFFNER,Giovanni HABEL-KUEFFNER,FL/NO8,バイヨンヌ,190,110,1995.01.09,,,,Section Paloise Béarn Pyrénées (2015 - 2022) -> Stade Français Paris Rugby (2022 - 2024) -> Aviron Bayonnais (2024 - 2026),A,0,https://all.rugby/player/giovanni-habel-kueffner,,Section Paloise Béarn Pyrénées (2015 - 2022) -> Stade Français Paris Rugby (2022 - 2024) -> Aviron Bayonnais (2024 - 2026),Germany,Germany,https://all.rugby/player/giovanni-habel-kueffner,Section Paloise Béarn Pyrénées (2015 - 2022) -> Stade Français Paris Rugby (2022 - 2024) -> Aviron Bayonnais (2024 - 2026),ジョヴァンニ・ハベル＝クエフナー
Manex ARICETA,Manex ARICETA,FL/NO8,バイヨンヌ,194,118,//2004,,,,Stade Hendayais (2016 - 2017) -> Hernani Club Rugby Elkartea (2017 - 2020) -> Stade Hendayais (2020 - 2020) -> Hernani Club Rugby Elkartea (2021 - 2021) -> Stade Hendayais (2021 - 2021) -> Aviron Bayonnais (2021 - 2026),A,0,https://all.rugby/player/manex-ariceta,,Stade Hendayais (2016 - 2017) -> Hernani Club Rugby Elkartea (2017 - 2020) -> Stade Hendayais (2020 - 2020) -> Hernani Club Rugby Elkartea (2021 - 2021) -> Stade Hendayais (2021 - 2021) -> Aviron Bayonnais (2021 - 2026),,,https://all.rugby/player/manex-ariceta,Stade Hendayais (2016 - 2017) -> Hernani Club Rugby Elkartea (2017 - 2020) -> Stade Hendayais (2020 - 2020) -> Hernani Club Rugby Elkartea (2021 - 2021) -> Stade Hendayais (2021 - 2021) -> Aviron Bayonnais (2021 - 2026),マネクス・アリセタ
Rob LEOTA,Rob LEOTA,FL/NO8,バイヨンヌ,190,110,1997.03.03,,,,Melbourne Rebels (2015 - 2024) -> New South Wales Waratahs (2024 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/rob-leota,,Melbourne Rebels (2015 - 2024) -> New South Wales Waratahs (2024 - 2025) -> Aviron Bayonnais (2025 - 2026),,,https://all.rugby/player/rob-leota,Melbourne Rebels (2015 - 2024) -> New South Wales Waratahs (2024 - 2025) -> Aviron Bayonnais (2025 - 2026),ロブ・レオタ
Rodrigo BRUNI,Rodrigo BRUNI,FL/NO8,バイヨンヌ,187,111,1993.09.03,,,,Jaguares (2018 - 2020) -> Rugby Club Vannes (2020 - 2022) -> CA Brive Corrèze Limousin (2022 - 2023) -> Aviron Bayonnais (2023 - 2026),A,0,https://all.rugby/player/rodrigo-bruni,,Jaguares (2018 - 2020) -> Rugby Club Vannes (2020 - 2022) -> CA Brive Corrèze Limousin (2022 - 2023) -> Aviron Bayonnais (2023 - 2026),Argentina,Argentina,https://all.rugby/player/rodrigo-bruni,Jaguares (2018 - 2020) -> Rugby Club Vannes (2020 - 2022) -> CA Brive Corrèze Limousin (2022 - 2023) -> Aviron Bayonnais (2023 - 2026),ロドリゴ・ブルーニ
Baptiste GERMAIN,Baptiste GERMAIN,SH,バイヨンヌ,174,82,2000.11.21,,,,RC Cubzaguais (2007 - 2009) -> Club Athlétique Bordeaux Bègles Gironde (2009 - 2015) -> Union Bordeaux-Bègles (2015 - 2020) -> Stade Toulousain (2020 - 2022) -> Biarritz Olympique Pays Basque (2022 - 2023) -> Stade Toulousain (2023 - 2024) -> Aviron Bayonnais (2024 - 2026),A,0,https://all.rugby/player/baptiste-germain,,RC Cubzaguais (2007 - 2009) -> Club Athlétique Bordeaux Bègles Gironde (2009 - 2015) -> Union Bordeaux-Bègles (2015 - 2020) -> Stade Toulousain (2020 - 2022) -> Biarritz Olympique Pays Basque (2022 - 2023) -> Stade Toulousain (2023 - 2024) -> Aviron Bayonnais (2024 - 2026),,,https://all.rugby/player/baptiste-germain,RC Cubzaguais (2007 - 2009) -> Club Athlétique Bordeaux Bègles Gironde (2009 - 2015) -> Union Bordeaux-Bègles (2015 - 2020) -> Stade Toulousain (2020 - 2022) -> Biarritz Olympique Pays Basque (2022 - 2023) -> Stade Toulousain (2023 - 2024) -> Aviron Bayonnais (2024 - 2026),バティスト・ジェルマン
Baptiste TILLOLES,Baptiste TILLOLES,SH,バイヨンヌ,178,81,//2006,,,,Emak Hor Rugby (2012 - 2018) -> Aviron Bayonnais (2018 - 2026),A,0,https://all.rugby/player/baptiste-tilloles,,Emak Hor Rugby (2012 - 2018) -> Aviron Bayonnais (2018 - 2026),,,https://all.rugby/player/baptiste-tilloles,Emak Hor Rugby (2012 - 2018) -> Aviron Bayonnais (2018 - 2026),バティスト・ティヨール
Herschel JANTJIES,Herschel JANTJIES,SH,バイヨンヌ,167,77,1996.04.22,,,,Scarlets (2017 - 2017) -> Stormers (2017 - 2017) -> Scarlets (2018 - 2018) -> Stormers (2018 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/herschel-jantjies,,Scarlets (2017 - 2017) -> Stormers (2017 - 2017) -> Scarlets (2018 - 2018) -> Stormers (2018 - 2025) -> Aviron Bayonnais (2025 - 2026),South Africa,South Africa,https://all.rugby/player/herschel-jantjies,Scarlets (2017 - 2017) -> Stormers (2017 - 2017) -> Scarlets (2018 - 2018) -> Stormers (2018 - 2025) -> Aviron Bayonnais (2025 - 2026),ハーシェル-ヤンキース
Maxime MACHENAUD,Maxime MACHENAUD,SH,バイヨンヌ,174,87,1988.12.30,,,,Union Bordeaux-Bègles (2003 - 2010) -> Sporting Union Agenais (2010 - 2012) -> Racing 92 (2012 - 2022) -> Aviron Bayonnais (2022 - 2026),A,0,https://all.rugby/player/maxime-machenaud,,Union Bordeaux-Bègles (2003 - 2010) -> Sporting Union Agenais (2010 - 2012) -> Racing 92 (2012 - 2022) -> Aviron Bayonnais (2022 - 2026),France,France,https://all.rugby/player/maxime-machenaud,Union Bordeaux-Bègles (2003 - 2010) -> Sporting Union Agenais (2010 - 2012) -> Racing 92 (2012 - 2022) -> Aviron Bayonnais (2022 - 2026),マキシム・マシュノー
Gareth ANSCOMBE,Gareth ANSCOMBE,SO,バイヨンヌ,184,96,1991.05.10,,,,Chiefs (2013 - 2014) -> Cardiff Rugby (2014 - 2019) -> Ospreys (2019 - 2023) -> sans club (2023 - 2024) -> Gloucester Rugby (2024 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/gareth-anscombe,,Chiefs (2013 - 2014) -> Cardiff Rugby (2014 - 2019) -> Ospreys (2019 - 2023) -> sans club (2023 - 2024) -> Gloucester Rugby (2024 - 2025) -> Aviron Bayonnais (2025 - 2026),New Zealand,New Zealand,https://all.rugby/player/gareth-anscombe,Chiefs (2013 - 2014) -> Cardiff Rugby (2014 - 2019) -> Ospreys (2019 - 2023) -> sans club (2023 - 2024) -> Gloucester Rugby (2024 - 2025) -> Aviron Bayonnais (2025 - 2026),ガレス-アンスコム
Joris SEGONDS,Joris SEGONDS,SO,バイヨンヌ,180,91,1997.04.06,,,,SC Decazeville (2003 - 2013) -> Stade Aurillacois Cantal Auvergne (2013 - 2019) -> Stade Français Paris Rugby (2019 - 2024) -> Aviron Bayonnais (2024 - 2026),A,0,https://all.rugby/player/joris-segonds,,SC Decazeville (2003 - 2013) -> Stade Aurillacois Cantal Auvergne (2013 - 2019) -> Stade Français Paris Rugby (2019 - 2024) -> Aviron Bayonnais (2024 - 2026),France,France,https://all.rugby/player/joris-segonds,SC Decazeville (2003 - 2013) -> Stade Aurillacois Cantal Auvergne (2013 - 2019) -> Stade Français Paris Rugby (2019 - 2024) -> Aviron Bayonnais (2024 - 2026),ジョリス・セゴンズ
